Index,Input_SMILES,canonical_smiles,corrosion_prob,corrosion_label,irritation_prob,irritation_label,sensitization_prob,sensitization_label,Summary,Assessment
637,C=C1CC[C@H]2C(=C)CC[C@@H]3[C@H](OC(=O)[C@]3(CC(C)=O)C[C@@H]3C(=O)O[C@@H]4/C=C(/C)CC/C=C(/C)CC[C@@H]34)[C@@H]12,C=C1CC[C@H]2C(=C)CC[C@@H]3[C@H](OC(=O)[C@]3(CC(C)=O)C[C@@H]3C(=O)O[C@@H]4/C=C(/C)CC/C=C(/C)CC[C@@H]34)[C@@H]12,0.00010291,0,0.103452325,0,0.003471136,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
638,C=C1CC[C@H]2C(=C)CC[C@@H]3[C@H](OC(=O)[C@]3(CC(C)=O)C[C@@H]3C(=O)O[C@H]4C3CC[C@@]3(C)CC=C(C)C[C@H]43)[C@@H]12,C=C1CC[C@H]2C(=C)CC[C@@H]3[C@H](OC(=O)[C@]3(CC(C)=O)C[C@@H]3C(=O)O[C@H]4C3CC[C@@]3(C)CC=C(C)C[C@H]43)[C@@H]12,0.000112659,0,0.095722549,0,0.000375198,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
650,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1/C=C/C(=O)O,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1/C=C/C(=O)O,0.001077766,0,0.855344534,1,0.999993205,1,"✅ Non-corrosive, ❌ Irritant, ❌ Sensitizer",non-safety
651,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C(/C=O)CCO,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C(/C=O)CCO,0.000113598,0,0.605100453,1,0.967976451,1,"✅ Non-corrosive, ❌ Irritant, ❌ Sensitizer",non-safety
652,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C(/C=O)CO,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C(/C=O)CO,0.000180632,0,0.559755564,1,0.99137038,1,"✅ Non-corrosive, ❌ Irritant, ❌ Sensitizer",non-safety
653,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C(\CC(=O)OCC)C(=O)O,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C(\CC(=O)OCC)C(=O)O,0.000220116,0,0.086014047,0,0.936951101,1,"✅ Non-corrosive, ✅ Non-irritant, ❌ Sensitizer",non-safety
655,C=C1CC[C@H]2O[C@]2(C)CC[C@@H]2[C@@H]1CC2(C)C,C=C1CC[C@H]2O[C@]2(C)CC[C@@H]2[C@@H]1CC2(C)C,0.21859543,0,0.994869351,1,0.881406188,1,"✅ Non-corrosive, ❌ Irritant, ❌ Sensitizer",non-safety
665,C=C1CC[C@H]2[C@@H](/C=C(\C)C(=O)[C@@]3(OC(C)=O)C[C@H](C)[C@H](OC(=O)c4ccccc4)[C@@H]3[C@H]1OC(C)=O)C2(C)C,C=C1CC[C@H]2[C@@H](/C=C(\C)C(=O)[C@@]3(OC(C)=O)C[C@H](C)[C@H](OC(=O)c4ccccc4)[C@@H]3[C@H]1OC(C)=O)C2(C)C,0.000264034,0,0.247764349,0,0.000128257,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
669,C=C1[C@@H](OC(C)=O)C[C@H]2[C@@H](/C=C(\C)C(=O)[C@@]3(OC(C)=O)C[C@H](C)[C@H](OC(=O)c4ccccc4)[C@@H]3[C@H]1O)C2(C)C,C=C1[C@@H](OC(C)=O)C[C@H]2[C@@H](/C=C(\C)C(=O)[C@@]3(OC(C)=O)C[C@H](C)[C@H](OC(=O)c4ccccc4)[C@@H]3[C@H]1O)C2(C)C,0.000315432,0,0.155806184,0,0.214935824,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
675,C=C1[C@@H](OC(C)=O)C[C@H]2[C@@H](/C=C(\C)C(=O)[C@@]3(OC(C)=O)C[C@H](C)[C@H](OC(=O)c4ccccc4)[C@@H]3[C@H]1OC(C)=O)C2(C)C,C=C1[C@@H](OC(C)=O)C[C@H]2[C@@H](/C=C(\C)C(=O)[C@@]3(OC(C)=O)C[C@H](C)[C@H](OC(=O)c4ccccc4)[C@@H]3[C@H]1OC(C)=O)C2(C)C,0.000349719,0,0.08099997,0,0.000111329,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
676,C=C1[C@H](CO)CC[C@]2(C)c3ccc(C(C)C)c(O)c3CC[C@@H]12,C=C1[C@H](CO)CC[C@]2(C)c3ccc(C(C)C)c(O)c3CC[C@@H]12,0.001378469,0,0.13871403,0,1.39E-05,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
677,C=C1[C@H](OC(=O)c2ccccc2)C[C@H]2[C@@H](/C=C(/C)C(=O)[C@@]3(OC(C)=O)C[C@H](C)[C@H](OC(=O)c4ccccc4)[C@@H]3[C@H]1OC(C)=O)C2(C)C,C=C1[C@H](OC(=O)c2ccccc2)C[C@H]2[C@@H](/C=C(/C)C(=O)[C@@]3(OC(C)=O)C[C@H](C)[C@H](OC(=O)c4ccccc4)[C@@H]3[C@H]1OC(C)=O)C2(C)C,0.000113455,0,0.065616429,0,9.17E-05,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
678,C=C1c2ccoc2CC2C1[C@@H](OC(C)=O)[C@H](O)[C@@]1(O)C(C)(C)CC[C@H](OC(C)=O)[C@]21C,C=C1c2ccoc2CC2C1[C@@H](OC(C)=O)[C@H](O)[C@@]1(O)C(C)(C)CC[C@H](OC(C)=O)[C@]21C,0.00028972,0,0.030316113,0,1.21E-08,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
683,C=C1c2ccoc2C[C@H]2[C@H]1[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@]1(O)C(C)(C)CC[C@H](OC(C)=O)[C@]21C,C=C1c2ccoc2C[C@H]2[C@H]1[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@]1(O)C(C)(C)CC[C@H](OC(C)=O)[C@]21C,0.00035221,0,0.033335481,0,3.87E-07,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
684,C=CC(=O)N1c2ccccc2Sc2ccc(NC(=O)OCC)cc21,C=CC(=O)N1c2ccccc2Sc2ccc(NC(=O)OCC)cc21,2.13E-05,0,0.02532476,0,1,1,"✅ Non-corrosive, ✅ Non-irritant, ❌ Sensitizer",non-safety
695,C=CC(C)(C)c1c(O)c2c(c3ccc(=O)oc13)OC(C)(C)C=C2,C=CC(C)(C)c1c(O)c2c(c3ccc(=O)oc13)OC(C)(C)C=C2,0.000127836,0,0.250156254,0,0.999996006,1,"✅ Non-corrosive, ✅ Non-irritant, ❌ Sensitizer",non-safety
697,C=CCN1C(=O)/C(=C\C=C2\N(C)c3ccccc3C2(C)C)SC1=S,C=CCN1C(=O)/C(=C\C=C2\N(C)c3ccccc3C2(C)C)SC1=S,0.056808881,0,0.889578462,1,0.99821949,1,"✅ Non-corrosive, ❌ Irritant, ❌ Sensitizer",non-safety
