Unnamed: 0,np_id,InChI,InChIKey,canonical_smiles,lipinski_rule_of_five_violations,sa_score
2922,NPC254625,"InChI=1S/C19H24O5/c1-20-15-9-8-13(10-16(15)21-2)6-7-14-11-17(22-3)19(24-5)18(12-14)23-4/h8-12H,6-7H2,1-5H3",XKKZNLRWNSUNBW-UHFFFAOYSA-N,COc1ccc(CCc2cc(OC)c(OC)c(OC)c2)cc1OC,0,1.8107032976754383
2924,NPC158675,"InChI=1S/C8H16O3/c9-7-5-3-1-2-4-6-8(10)11/h9H,1-7H2,(H,10,11)",KDMSVYIHKLZKET-UHFFFAOYSA-N,O=C(O)CCCCCCCO,0,1.698654182451076
3034,NPC300017,"InChI=1S/C8H10O2/c9-6-5-7-1-3-8(10)4-2-7/h1-4,9-10H,5-6H2",YCCILVSKPBXVIP-UHFFFAOYSA-N,OCCc1ccc(O)cc1,0,1.607063322719469
3041,NPC126915,"InChI=1S/C15H32O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16/h16H,2-15H2,1H3",REIUXOLGHVXAEO-UHFFFAOYSA-N,CCCCCCCCCCCCCCCO,1,1.554956674314564
3042,NPC122513,"InChI=1S/C9H12O4/c1-11-7-5-9(13-3)8(12-2)4-6(7)10/h4-5,10H,1-3H3",QUPHIMRKLSEULX-UHFFFAOYSA-N,COc1cc(OC)c(OC)cc1O,0,1.6169535961626718
3043,NPC235843,InChI=1S/C6H4N2/c7-5-6-1-3-8-4-2-6/h1-4H,GPHQHTOMRSGBNZ-UHFFFAOYSA-N,N#Cc1ccncc1,0,1.9871752199470265
3049,NPC153547,"InChI=1S/C13H18O5/c1-15-10-8-12(17-3)11(16-2)7-9(10)5-6-13(14)18-4/h7-8H,5-6H2,1-4H3",SULPGCHHOCMNSJ-UHFFFAOYSA-N,COC(=O)CCc1cc(OC)c(OC)cc1OC,0,1.7981143270908166
3056,NPC247871,"InChI=1S/C7H6O3/c8-5-1-2-6-7(3-5)10-4-9-6/h1-3,8H,4H2",LUSZGTFNYDARNI-UHFFFAOYSA-N,Oc1ccc2c(c1)OCO2,0,1.8388852817948766
3080,NPC325778,"InChI=1S/C5H9NO3/c1-4(7)6-3-2-5(8)9/h2-3H2,1H3,(H,6,7)(H,8,9)",LJLLAWRMBZNPMO-UHFFFAOYSA-N,CC(=O)NCCC(=O)O,0,1.7154594453526464
3126,NPC165212,"InChI=1S/C14H14O/c1-3-7-13(8-4-1)11-15-12-14-9-5-2-6-10-14/h1-10H,11-12H2",MHDVGSVTJDSBDK-UHFFFAOYSA-N,c1ccc(COCc2ccccc2)cc1,0,1.2530808111116087
3146,NPC298134,"InChI=1S/C15H16O3/c1-10-4-12(16)8-14(6-10)18-15-7-11(2)5-13(9-15)17-3/h4-9,16H,1-3H3",MCACKYTWGZKQCS-UHFFFAOYSA-N,COc1cc(C)cc(Oc2cc(C)cc(O)c2)c1,0,1.9846865029149896
3197,NPC174421,"InChI=1S/C5H5NO/c7-5-2-1-3-6-4-5/h1-4,7H",GRFNBEZIAWKNCO-UHFFFAOYSA-N,Oc1cccnc1,0,1.924198201908693
3266,NPC316908,"InChI=1S/C6H6O4S/c7-11(8,9)10-6-4-2-1-3-5-6/h1-5H,(H,7,8,9)",CTYRPMDGLDAWRQ-UHFFFAOYSA-N,O=S(=O)(O)Oc1ccccc1,0,1.7017141824510755
3387,NPC167400,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)",PVNIIMVLHYAWGP-UHFFFAOYSA-N,O=C(O)c1cccnc1,0,1.5852360072255571
3389,NPC113670,InChI=1S/C12H10/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h1-10H,ZUOUZKKEUPVFJK-UHFFFAOYSA-N,c1ccc(-c2ccccc2)cc1,0,1.0
3423,NPC303245,"InChI=1S/C13H16O2/c1-11(2)10-15-13(14)9-8-12-6-4-3-5-7-12/h3-9,11H,10H2,1-2H3/b9-8+",IQZUZPKOFSOVET-CMDGGOBGSA-N,CC(C)COC(=O)/C=C/c1ccccc1,0,1.7820737781445768
3451,NPC325827,"InChI=1S/C14H22/c1-13(2,3)11-14(4,5)12-9-7-6-8-10-12/h6-10H,11H2,1-5H3",CQMDBLRKZWOZIW-UHFFFAOYSA-N,CC(C)(C)CC(C)(C)c1ccccc1,0,1.8232577166692678
3453,NPC155172,"InChI=1S/C12H18/c1-9(2)11-7-5-6-8-12(11)10(3)4/h5-10H,1-4H3",OKIRBHVFJGXOIS-UHFFFAOYSA-N,CC(C)c1ccccc1C(C)C,0,1.6898627152539927
3462,NPC175319,"InChI=1S/C23H19N/c1-3-9-18(10-4-1)15-21-17-20-13-7-8-14-22(20)23(24-21)16-19-11-5-2-6-12-19/h1-14,17H,15-16H2",BJWWOUUGCAPHOV-UHFFFAOYSA-N,c1ccc(Cc2cc3ccccc3c(Cc3ccccc3)n2)cc1,1,1.890417419374634
3472,NPC257182,"InChI=1S/C9H8O3/c10-8-3-1-2-7(6-8)4-5-9(11)12/h1-6,10H,(H,11,12)/b5-4+",KKSDGJDHHZEWEP-SNAWJCMRSA-N,O=C(O)/C=C/c1cccc(O)c1,0,1.8876534495197248
3537,NPC41562,"InChI=1S/C15H16O3/c1-18-15-13(16)9-12(10-14(15)17)8-7-11-5-3-2-4-6-11/h2-6,9-10,16-17H,7-8H2,1H3",UXZPELIPQAUZMK-UHFFFAOYSA-N,COc1c(O)cc(CCc2ccccc2)cc1O,0,1.9116434802905573
3631,NPC251855,"InChI=1S/C18H22O5/c1-20-14-8-7-12(9-15(14)21-2)5-6-13-10-16(22-3)18(19)17(11-13)23-4/h7-11,19H,5-6H2,1-4H3",YUHRVKGYFHPWRI-UHFFFAOYSA-N,COc1ccc(CCc2cc(OC)c(O)c(OC)c2)cc1OC,0,1.8627215037430638
3692,NPC205141,"InChI=1S/C22H46O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23/h23H,2-22H2,1H3",NOPFSRXAKWQILS-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCCCCCO,1,1.4805687630358655
3704,NPC7086,"InChI=1S/C14H28O2/c1-13(2)11-9-7-5-3-4-6-8-10-12-14(15)16/h13H,3-12H2,1-2H3,(H,15,16)",YYVJAABUJYRQJO-UHFFFAOYSA-N,CC(C)CCCCCCCCCCC(=O)O,0,1.7343229508728086
3730,NPC196673,"InChI=1S/C15H10O3/c16-8-9-5-6-12-13(7-9)15(18)11-4-2-1-3-10(11)14(12)17/h1-7,16H,8H2",JYKHAJGLEVKEAA-UHFFFAOYSA-N,O=C1c2ccccc2C(=O)c2cc(CO)ccc21,0,1.8407891816480237
3813,NPC241089,"InChI=1S/C7H6O4/c8-4-1-2-5(7(10)11)6(9)3-4/h1-3,8-9H,(H,10,11)",UIAFKZKHHVMJGS-UHFFFAOYSA-N,O=C(O)c1ccc(O)cc1O,0,1.7709350843078386
3895,NPC487935,"InChI=1S/C8H6Br2O3/c1-13-7-5(9)2-4(8(11)12)3-6(7)10/h2-3H,1H3,(H,11,12)",NAHPGFGVWWKSFU-UHFFFAOYSA-N,COc1c(Br)cc(C(=O)O)cc1Br,0,1.975139750008827
3960,NPC325857,"InChI=1S/C7H7NO4/c9-6(10)4-8-7(11)5-2-1-3-12-5/h1-3H,4H2,(H,8,11)(H,9,10)",KSPQDMRTZZYQLM-UHFFFAOYSA-N,O=C(O)CNC(=O)c1ccco1,0,1.857162540428817
3975,NPC28853,"InChI=1S/C12H22O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h10-11H,2-9H2,1H3,(H,13,14)/b11-10+",PAWGRNGPMLVJQH-ZHACJKMWSA-N,CCCCCCCCC/C=C/C(=O)O,0,1.9717421241536783
3994,NPC99016,"InChI=1S/C12H12O2/c1-7-4-5-10-8(2)9(3)12(13)14-11(10)6-7/h4-6H,1-3H3",KAFSSZHADPCOBG-UHFFFAOYSA-N,Cc1ccc2c(C)c(C)c(=O)oc2c1,0,1.9549785614006385
4074,NPC470877,"InChI=1S/C19H31NO/c1-2-3-4-5-6-7-8-9-13-16-19(21)20-17-18-14-11-10-12-15-18/h10-12,14-15H,2-9,13,16-17H2,1H3,(H,20,21)",AAJQYMJRUXQQCP-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)NCc1ccccc1,1,1.5877306317814739
4135,NPC26872,"InChI=1S/C15H19NO/c1-3-4-5-8-12-11-15(17-2)13-9-6-7-10-14(13)16-12/h6-7,9-11H,3-5,8H2,1-2H3",GBEBHUXJNVPKMN-UHFFFAOYSA-N,CCCCCc1cc(OC)c2ccccc2n1,0,1.8086832223429123
