ID,scaffold_smiles,mean_shap,effect,tsne_x,tsne_y
Train: Pos 166,O=C(COC(=O)C=Cc1ccccc1)Nc1ccccc1,0.001663068,positive,20.836872,-32.232857
Train: Pos 167,C=C1c2ccoc2CC2C1CCC1CCCCC12,0.001658134,positive,8.679589,30.293499
Train: Pos 168,O=C(Nc1ccnn1-c1cccc(OCCN2CCOCC2)c1)NC1CCC(Oc2ccc3nnc(C4CCCCC4)n3c2)c2ccccc21,0.001657746,positive,70.0732,-3.933399
Train: Pos 169,c1ccc(CCc2ccccc2CC2c3cc4c(cc3OC2c2ccccc2)CCc2ccccc2-4)cc1,0.001653437,positive,30.064438,15.61967
Train: Pos 170,C1=C2C3CCCC3CCC2C2CCCCC23OC13,0.001651616,positive,4.9334087,25.71075
Train: Pos 171,O=C1CCC2C(CC=C3C4CCCC4CCC32)C1,0.001650889,positive,14.370428,39.03769
Train: Pos 172,O=C1NC(=S)NC(=O)C1=Cc1ccccc1,0.001649284,positive,17.490986,4.2086463
Train: Pos 173,O=C(C=Cc1ccccc1)c1ccc2occc2c1,0.00164534,positive,18.988333,-6.616013
Train: Pos 174,O=C(OC1CCCCO1)C12CCCCC1C1=CCC3C(CCC4C5CCCOC5CCC43)C1CC2,0.001645149,positive,14.160595,47.63362
Train: Pos 175,O=C1CCC2C(=CCC3C4CCCC4CCC23)C1,0.001642444,positive,7.466735,35.323605
Train: Pos 176,c1ccc(-c2csc3ncnc(Sc4nnn[nH]4)c23)cc1,0.001640955,positive,-32.47351,31.079107
Train: Pos 177,C1=C2C(=CCC3CCCCC23)C2CCCC2C1,0.001639227,positive,9.216108,24.837934
Train: Pos 178,O=C1CC2CCC34OC3(C=CC3CCCCC34)C2C1,0.001638012,positive,8.394414,22.99291
Train: Pos 179,C(=Cc1cccc2c1C(c1ccccc1)C(c1ccccc1)O2)c1ccccc1,0.00163693,positive,16.652983,-0.44242996
Train: Pos 180,O=C1CCC(c2cccn3nccc23)=NN1CCCCOc1ccc(-c2ccc(=O)[nH]n2)cc1,0.001635545,positive,-12.385251,58.70734
Train: Pos 181,O=C1CC(c2ccc(OCCCCN3N=C(c4cccn5nccc45)CCC3=O)cc2)=NN1,0.001634867,positive,-12.3374195,58.340916
Train: Pos 182,O=C1CCC(c2ccc(OCCCCN3N=C(c4cccn5nccc45)CC3=O)cc2)=NN1,0.001634566,positive,-13.295117,57.754574
Train: Pos 183,O=C1OC(Cc2ccccc2)C(c2ccccc2)C1=O,0.001633431,positive,15.530226,7.0655704
Train: Pos 184,O=C(CC1=CC(=Cc2ccccc2)c2ccccc21)NCCCCOc1ccccc1,0.001631643,positive,30.36114,-46.746986
Train: Pos 185,O=C(CCN1C(=O)C(=Cc2ccccc2)SC1=S)NNC(=O)c1ccccc1,0.001630112,positive,42.119377,0.08909203
Train: Pos 186,O=C1NC(=S)N(c2ccccc2)C(=O)C1=Cc1ccco1,0.001630008,positive,-23.456705,37.623474
Train: Pos 187,O=C(NN=Cc1ccco1)c1cc(-c2ccc(-c3ccccc3)cc2)nc2ccccc12,0.001629429,positive,-49.210354,-32.91686
Train: Pos 188,O=C1C=CCC(C2OCC34CCC5C(CCC6C=CCC(=O)C65)C3CCC24)O1,0.00162785,positive,-4.055534,37.514347
Train: Pos 189,O=C(CNCc1ccccc1)c1ccccc1,0.001626989,positive,11.486543,-14.9625635
Train: Pos 190,c1cc(-c2cn3c4nc(ncc24)NCCCCCCCCC3)ccc1CN1CCNCC1,0.00162398,positive,1.7206765,70.52722
Train: Pos 191,c1cc(-c2cn3c4nc(ncc24)NCCCCCCCCCCCC3)ccc1CN1CCNCC1,0.00162398,positive,1.7198212,70.53202
Train: Pos 192,c1cc(-c2cn3c4nc(ncc24)NCCCCCCCCCCCCCC3)ccc1CN1CCNCC1,0.00162398,positive,1.7200167,70.53259
Train: Pos 193,c1cc(-c2cn3c4nc(ncc24)NCCCCCCCCCCC3)ccc1CN1CCNCC1,0.00162398,positive,1.7200179,70.532585
Train: Pos 194,O=C1OC2C3OC4CC(c5ccoc5)C=C4C3CC3CCCC1C32,0.001621489,positive,19.047062,26.164713
