ID,scaffold_smiles,mean_shap,effect
Train: Pos 166,O=C(COC(=O)C=Cc1ccccc1)Nc1ccccc1,0.001663068,positive
Train: Pos 167,C=C1c2ccoc2CC2C1CCC1CCCCC12,0.001658134,positive
Train: Pos 168,O=C(Nc1ccnn1-c1cccc(OCCN2CCOCC2)c1)NC1CCC(Oc2ccc3nnc(C4CCCCC4)n3c2)c2ccccc21,0.001657746,positive
Train: Pos 169,c1ccc(CCc2ccccc2CC2c3cc4c(cc3OC2c2ccccc2)CCc2ccccc2-4)cc1,0.001653437,positive
Train: Pos 170,C1=C2C3CCCC3CCC2C2CCCCC23OC13,0.001651616,positive
Train: Pos 171,O=C1CCC2C(CC=C3C4CCCC4CCC32)C1,0.001650889,positive
Train: Pos 172,O=C1NC(=S)NC(=O)C1=Cc1ccccc1,0.001649284,positive
Train: Pos 173,O=C(C=Cc1ccccc1)c1ccc2occc2c1,0.00164534,positive
Train: Pos 174,O=C(OC1CCCCO1)C12CCCCC1C1=CCC3C(CCC4C5CCCOC5CCC43)C1CC2,0.001645149,positive
Train: Pos 175,O=C1CCC2C(=CCC3C4CCCC4CCC23)C1,0.001642444,positive
Train: Pos 176,c1ccc(-c2csc3ncnc(Sc4nnn[nH]4)c23)cc1,0.001640955,positive
Train: Pos 177,C1=C2C(=CCC3CCCCC23)C2CCCC2C1,0.001639227,positive
Train: Pos 178,O=C1CC2CCC34OC3(C=CC3CCCCC34)C2C1,0.001638012,positive
Train: Pos 179,C(=Cc1cccc2c1C(c1ccccc1)C(c1ccccc1)O2)c1ccccc1,0.00163693,positive
Train: Pos 180,O=C1CCC(c2cccn3nccc23)=NN1CCCCOc1ccc(-c2ccc(=O)[nH]n2)cc1,0.001635545,positive
Train: Pos 181,O=C1CC(c2ccc(OCCCCN3N=C(c4cccn5nccc45)CCC3=O)cc2)=NN1,0.001634867,positive
Train: Pos 182,O=C1CCC(c2ccc(OCCCCN3N=C(c4cccn5nccc45)CC3=O)cc2)=NN1,0.001634566,positive
Train: Pos 183,O=C1OC(Cc2ccccc2)C(c2ccccc2)C1=O,0.001633431,positive
Train: Pos 184,O=C(CC1=CC(=Cc2ccccc2)c2ccccc21)NCCCCOc1ccccc1,0.001631643,positive
Train: Pos 185,O=C(CCN1C(=O)C(=Cc2ccccc2)SC1=S)NNC(=O)c1ccccc1,0.001630112,positive
Train: Pos 186,O=C1NC(=S)N(c2ccccc2)C(=O)C1=Cc1ccco1,0.001630008,positive
Train: Pos 187,O=C(NN=Cc1ccco1)c1cc(-c2ccc(-c3ccccc3)cc2)nc2ccccc12,0.001629429,positive
