ID,scaffold_smiles,mean_shap,effect,umap_x,umap_y
Train: Pos 169,c1ccc(CCc2ccccc2CC2c3cc4c(cc3OC2c2ccccc2)CCc2ccccc2-4)cc1,0.001653437,positive,-2.204389,-7.5907297
Train: Pos 170,C1=C2C3CCCC3CCC2C2CCCCC23OC13,0.001651616,positive,-4.645882,-7.097229
Train: Pos 171,O=C1CCC2C(CC=C3C4CCCC4CCC32)C1,0.001650889,positive,-4.8026423,-7.069909
Train: Pos 172,O=C1NC(=S)NC(=O)C1=Cc1ccccc1,0.001649284,positive,-3.033986,-9.783173
Train: Pos 173,O=C(C=Cc1ccccc1)c1ccc2occc2c1,0.00164534,positive,-0.12551615,-9.389251
Train: Pos 174,O=C(OC1CCCCO1)C12CCCCC1C1=CCC3C(CCC4C5CCCOC5CCC43)C1CC2,0.001645149,positive,-4.5517635,-6.1580625
Train: Pos 175,O=C1CCC2C(=CCC3C4CCCC4CCC23)C1,0.001642444,positive,-4.8894606,-6.383567
Train: Pos 176,c1ccc(-c2csc3ncnc(Sc4nnn[nH]4)c23)cc1,0.001640955,positive,-2.6979752,-9.353348
Train: Pos 177,C1=C2C(=CCC3CCCCC23)C2CCCC2C1,0.001639227,positive,-4.5769196,-6.99674
Train: Pos 178,O=C1CC2CCC34OC3(C=CC3CCCCC34)C2C1,0.001638012,positive,-4.6854224,-6.9238834
Train: Pos 179,C(=Cc1cccc2c1C(c1ccccc1)C(c1ccccc1)O2)c1ccccc1,0.00163693,positive,-2.1010592,-8.424232
Train: Pos 180,O=C1CCC(c2cccn3nccc23)=NN1CCCCOc1ccc(-c2ccc(=O)[nH]n2)cc1,0.001635545,positive,-6.419193,-6.0378876
Train: Pos 181,O=C1CC(c2ccc(OCCCCN3N=C(c4cccn5nccc45)CCC3=O)cc2)=NN1,0.001634867,positive,-6.4008565,-6.053733
Train: Pos 182,O=C1CCC(c2ccc(OCCCCN3N=C(c4cccn5nccc45)CC3=O)cc2)=NN1,0.001634566,positive,-6.3775806,-6.071576
Train: Pos 183,O=C1OC(Cc2ccccc2)C(c2ccccc2)C1=O,0.001633431,positive,-2.3521745,-7.337373
Train: Pos 184,O=C(CC1=CC(=Cc2ccccc2)c2ccccc21)NCCCCOc1ccccc1,0.001631643,positive,1.3991994,-6.3738804
Train: Pos 185,O=C(CCN1C(=O)C(=Cc2ccccc2)SC1=S)NNC(=O)c1ccccc1,0.001630112,positive,-2.0700777,-11.3520565
Train: Pos 186,O=C1NC(=S)N(c2ccccc2)C(=O)C1=Cc1ccco1,0.001630008,positive,-3.1760418,-9.500277
Train: Pos 187,O=C(NN=Cc1ccco1)c1cc(-c2ccc(-c3ccccc3)cc2)nc2ccccc12,0.001629429,positive,-1.1160842,-4.399406
Train: Pos 188,O=C1C=CCC(C2OCC34CCC5C(CCC6C=CCC(=O)C65)C3CCC24)O1,0.00162785,positive,-4.2927365,-7.4527144
Train: Pos 189,O=C(CNCc1ccccc1)c1ccccc1,0.001626989,positive,-0.31621903,-7.4738717
