compound_id,InChIKey,canonical_smiles,scaffold,exact_scaffold_hit,similar_scaffold_hit,Note
30247,ALIOKRACUZLOCC-UHFFFAOYSA-N,CC(=O)CCc1c(O)cc2c(c1O)C(=O)C(O)C(c1ccc(O)c(O)c1)O2,O=C1CC(c2ccccc2)Oc2ccccc21,TRUE,TRUE,Exact
30250,QANVEMJNIGBOOO-UHFFFAOYSA-N,COc1cc(-c2oc3c(OC)c(OC)c(OC)c(O)c3c(=O)c2OC)cc(OC)c1OC,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
30267,NHKRWDZHHWTCAH-UHFFFAOYSA-N,COc1c(O)c(O)c(O)c2c(=O)c(-c3ccc(O)cc3)coc12,O=c1c(-c2ccccc2)coc2ccccc12,TRUE,TRUE,Exact
30287,MGQCJMAMKIFKOH-UHFFFAOYSA-N,CC(=CC=O)CCC1C(C)(O)CCC2C(C)(C)CCCC21C,C1CCC2CCCCC2C1,TRUE,TRUE,Exact
30292,GWVGVAPNTKLROZ-UHFFFAOYSA-N,COc1cc(C2CC(=O)c3c(cc(O)c(CC=C(C)C)c3O)O2)ccc1O,O=C1CC(c2ccccc2)Oc2ccccc21,TRUE,TRUE,Exact
30314,GCWMEFUMPZHUFF-UHFFFAOYSA-N,O=c1c(O)c(-c2cc(O)c(O)cc2O)oc2cc(O)cc(O)c12,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
30323,WLPHLDLTTPUDSI-UHFFFAOYSA-N,COc1cc2occ(-c3ccc(O)cc3)c(=O)c2c(O)c1CC=C(C)C,O=c1c(-c2ccccc2)coc2ccccc12,TRUE,TRUE,Exact
30336,PGSYMGVPRBHBAV-UHFFFAOYSA-N,COc1ccc(-c2oc3cc(OS(=O)(=O)O)cc(O)c3c(=O)c2OS(=O)(=O)O)cc1O,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
30388,NGJUAJNTJXNCFH-UHFFFAOYSA-N,CC1(C)CCC2(CO)C(CO)CC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1,C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1,TRUE,TRUE,Exact
30472,IAWGZKRQDHPFCZ-UHFFFAOYSA-N,CC(=O)OC1CCC2(C)C(CCC3(C)C2CC=C2C4CC(C)(C)CCC4(C)CCC23C)C1(C)C(=O)O,C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1,TRUE,TRUE,Exact
30473,SZHDIKOQLFZADP-UHFFFAOYSA-N,CC(C)=CCCC(C)=CCc1c(C2CC(=O)c3c(cc(O)c(CC=C(C)C)c3O)O2)ccc(O)c1O,O=C1CC(c2ccccc2)Oc2ccccc21,TRUE,TRUE,Exact
30489,LQLVWNVASQPJTG-UHFFFAOYSA-N,CCOC1C=C2C3C(C)C(C)CCC3(C)CCC2(C)C2(C)CCC3C(C)(C)C(O)CCC3(C)C12,C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1,TRUE,TRUE,Exact
30533,WDPNZZSUCIZMSX-UHFFFAOYSA-N,CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(CO)CC(O)C(O)C(C)(C)C5CCC43C)C2C1,C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1,TRUE,TRUE,Exact
30556,VGLPJSNOYXHDSE-UHFFFAOYSA-N,CC1(C)CC(O)C2C(CO)CC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1,C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1,TRUE,TRUE,Exact
30565,YDJYRDOKNBKUDY-UHFFFAOYSA-N,CC1CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(COS(=O)(=O)O)C5CCC43C)C2C1(C)O,C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1,TRUE,TRUE,Exact
30601,NYBSUQRJRBELLB-UHFFFAOYSA-N,CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)C(O)CC(O)C(C)(C)C5CCC43C)C2C1O,C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1,TRUE,TRUE,Exact
30617,FKFRIKBCBCICFD-UHFFFAOYSA-N,CC1(C)C(O)CC(O)C2(C)C1CCC1(C)C2CC=C2C3C(C(=O)O)(CCC(C)(O)C3(C)O)CCC21C,C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1,TRUE,TRUE,Exact
30635,VQBWFYNSXWMURP-UHFFFAOYSA-N,COc1ccc2c(c1CC=C(C)C)OC(c1ccccc1)CC2=O,O=C1CC(c2ccccc2)Oc2ccccc21,TRUE,TRUE,Exact
30659,KXPGLTQQRPXDSS-UHFFFAOYSA-N,CC1(C)CCC2(C=O)C(O)CC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1,C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1,TRUE,TRUE,Exact
