canonical_smiles,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_avg,ID,lipinski_rule_of_five_violations,sa_score,y_pred
C/C=C\c1ccc(OC(C)=O)c(OC)c1,0.9999981,0.99999446,0.9999979,0.98626536,0.822141,0.94035864,0.95812591,23373,0,1.960048316,1
CC/C=C\CCOC(=O)Cc1ccccc1,0.8642988,0.9999139,0.9915655,0.76961803,0.7230596,0.700766,0.8415369716666666,23405,0,1.974317706,1
COc1ccc(CCN(C)C(=O)/C=C/c2ccccc2)cc1OC,0.99999934,1.0,0.99994016,0.9765758,0.92605025,0.8907779,0.9655572416666667,23447,0,1.938520134,1
COc1cc(/C=C/c2ccc(O)c(OC)c2)cc(OC)c1,0.9999993,1.0,1.0,0.9865028,0.9695969,0.9797433,0.98930705,23635,0,1.972465002,1
COc1ccc(/C=C/C(=O)c2ccc(O)cc2O)cc1,0.9999998,1.0,1.0,0.99837464,0.98576665,0.9916856,0.995971115,23757,0,1.934734477,1
COC(=O)CCCCCCCCO,0.999914,0.99982435,0.667567,0.80237246,0.5365977,0.7077732,0.785674785,24621,0,1.750766673,1
COc1cc(O)ccc1C/C=C/c1ccccc1,0.9999998,1.0,1.0,0.9969526,0.93101925,0.9782621,0.9843722916666667,24808,0,1.970823414,1
COc1ccc2nc3ccccc3nc2c1,0.99987936,0.99978805,0.8700307,0.6230531,0.51190275,0.7036271,0.78471351,24995,0,1.656112469,1
COc1cc(CCc2ccc(OC)c(O)c2)cc(OC)c1,0.9999945,0.99999994,0.9999911,0.982347,0.85246086,0.91483337,0.9582711283333333,25001,0,1.878414416,1
COc1cc(C=Cc2ccccc2)cc(OC)c1,0.9999998,0.9999998,1.0,0.9846433,0.94902253,0.9779852,0.9852751049999999,26143,0,1.722873414,1
O=C(CC/C=C/c1ccccc1)CCc1ccccc1,0.99999994,1.0,1.0,0.98394924,0.77388316,0.9630983,0.9534884400000001,26159,0,1.855032093,1
COc1cc(CCCO)cc(OC)c1O,0.9999911,0.99927396,0.99863076,0.92231035,0.64234734,0.92164373,0.9140328733333334,26753,0,1.896822049,1
COc1cccc(CNC(=O)CCCCCC(=O)c2ccccc2)c1,0.996629,0.9999998,0.9985997,0.6518373,0.5860589,0.54708457,0.7967015449999999,26797,0,1.726314698,1
COc1ccc(C=CC(=O)c2ccc(O)cc2O)cc1,0.9999998,1.0,1.0,0.99837464,0.98576665,0.9916856,0.995971115,27251,0,1.934734477,1
COc1ccc(-c2cc(=O)c3ccccc3o2)cc1,0.99999785,0.99999696,0.99977094,0.9966488,0.8000779,0.9283721,0.9541440916666666,27420,0,1.715179573,1
O=c1cc(-c2ccccc2)c2ccc(Cl)cc2o1,0.9999773,0.99990225,0.9658368,0.7593265,0.77756566,0.7063666,0.8681625183333334,27484,0,1.77436513,1
N=C(O)c1ccccc1,0.9999859,0.66184026,0.81494135,0.8296776,0.51715994,0.6419758,0.744263475,27576,0,1.889081546,1
COc1ccc2c(c1O)C(=O)c1ccccc1C2=O,0.53251463,0.9999316,0.99974257,0.58797216,0.8997021,0.7785017,0.7997274600000001,28091,0,1.912963022,1
COc1cc(C(=O)CO)ccc1O,0.9999885,0.99991196,0.9694779,0.8634308,0.74287367,0.93574524,0.9185713450000002,28285,0,1.889133376,1
