rgroup_label,clean_smi,mean_shap,effect
R2,CS(=O)(=O),0.00014774091978455,Positive
R3,CC(C)CN(N)CC,0.00016420297772675,Positive
R6,NC(=O)NOC,0.00010386042753694999,Positive
R5,CCCCCCCN(C(=O)CCl),0.000150814818021,Positive
R2,CCCCC/C=C/C/C=C\CCCCCCCC(=O)OC,0.00012041403624614999,Positive
R1,CCOCC,0.00014920842620015,Positive
R5,CCN,0.0001215138613074,Positive
R3,CSC(=S)N,0.0001406029998686,Positive
R3,C/C(=N\O)C(C)(C)N,0.0001391547637573,Positive
R1,CC(C)=C(C=O),0.00015012405279855,Positive
R7,OC[C@@H](O)CO,5.29595165368e-05,Positive
R1,CC(=O),0.0001012621630359,Positive
R4,NC(=O)N(O)CC#C,0.00012190855481349999,Positive
R3,C=C,0.00013141859406395,Positive
R6,O=C(O)CSCC(=O)NC,0.00010844602648025,Positive
R3,C/C(=C\CO)CO,0.00012494842359145,Positive
R2,COC(=O)CC(=O)OC,0.00014549883535705,Positive
R5,N=C(N)SC,0.0001541166052841,Positive
R6,NC(N)=NN,8.662900462055e-05,Positive
R5,CCC(COC(=O)N)NC(=O)OCC(C)C,0.00013732759166630001,Positive
R1,FC(F)O,0.00014197247183615001,Positive
R6,NC(=O)NCC,0.00012189128299325001,Positive
R2,FC(F)(F)CS,0.00012682415860050002,Positive
R2,CC(C)=CCC/C(C)=C/CO,0.00015440768190015,Positive
R5,C=CC(C)(C),0.00014285470682505,Positive
R4,O=S(=O)(O),0.0001458789276625542,Positive
R1,CC(C)=CCC/C(C)=C/CCC(C)(O)CC,0.00010283329621455577,Positive
R2,CCC(=O)OCC(=O).CCC(=O)O,0.0001637111003272277,Positive
R3,CCC(C)C(NC(=O))C(=O)O,0.00014736536543764916,Positive
R2,CC(C)(O)C(=O)O,0.00014323804085438993,Positive
R2,CCOC(=O)C(C),0.00011422346636336009,Positive
R5,CCCCCCCCNC(=O)O,0.00015379991362189942,Positive
