rgroup_label,rgroup_smiles,active_count,inactive_count,enrichment_score
R3,CCNS(=O)(=O)[*:3],1,0,inf
R3,CCCCC[C@H](O)CC(=O)CC[*:3],1,0,inf
R3,CCCCOC(=O)N[*:3],1,0,inf
R3,CCCCO[*:3],1,0,inf
R3,CCCN(CCC)S(=O)(=O)[*:3],1,0,inf
R4,CN(CCO)CCCCCCCNC(=O)C[*:4],1,0,inf
R4,CCNC(=O)[*:4],1,0,inf
R4,CCCCCCNC(=O)O[*:4],1,0,inf
R4,CCCCO[*:4],1,0,inf
R4,CCCC(=O)O[*:4].O=C(CO)[*:4],1,0,inf
R4,CCCC(C#C[*:4])N(O)C(N)=O,1,0,inf
R4,CCCCC(=O)O[*:4].O=C(CO)[*:4],1,0,inf
R4,CCCCCCCC(=O)OCC(=O)[*:4].O[*:4],1,0,inf
R4,CCCCCCCCCCCCC[*:4],1,0,inf
R3,COC(CN(C)N)[*:3],6,0,inf
R3,COC(C[*:3])C(C)(C)O,1,0,inf
R3,COC(OC(C)=O)[*:3],1,0,inf
R3,COC(=O)/C=C/C(=O)[*:3],1,0,inf
R3,COC(=O)/C=C\C(=O)N[*:3],1,0,inf
R3,COC(=O)CCS(=O)(=O)[*:3],1,0,inf
R3,COC(=O)C[*:3],2,0,inf
R3,CN(C[*:3])C(=O)CCl,1,0,inf
R3,CN(N)CC(C)(O)[*:3],1,0,inf
R3,CN(N)CC(O)[*:3],4,0,inf
R3,CN(N)CC[*:3],7,0,inf
R3,CN(S(C)(=O)=O)[*:3],1,0,inf
R3,CNC(=O)N[*:3],1,0,inf
R3,CN(C)CCNC(=O)[*:3],1,0,inf
R3,CN(C)CC[*:3],1,0,inf
R3,CN(CCO)CCCCCCCNC(=O)C[*:3],1,0,inf
R3,CN(CCO)CCCCCCCNC(=O)[*:3],1,0,inf
R4,CC(C)CC[C@@H](O)[C@](C)(O)[*:4],1,0,inf
R4,CC(C)CNC(=O)[*:4],1,0,inf
R4,CC(C)NC(=O)[*:4],1,0,inf
R4,CCC(C#C[*:4])N(O)C(N)=O,1,0,inf
R4,CC(C)(O)C(O)C[*:4],2,0,inf
R4,CC(C)=CCC/C(C)=C/C[*:4],1,0,inf
R4,CC(C)=CC[*:4],9,0,inf
R4,CC(C)C(C#C[*:4])N(O)C(N)=O,1,0,inf
R4,CC(C)CC(C#C[*:4])N(O)C(N)=O,1,0,inf
R4,CC(C)CCNC(=O)[*:4],1,0,inf
R4,CC(C)CC[C@@H](O)C(C)(O)[*:4],1,0,inf
R4,C=C(C)[C@H](CC=C(C)C)C[*:4],1,0,inf
R4,CC(=O)OCC(=O)[*:4].O[*:4],1,0,inf
R4,CC(=O)O[*:4],7,0,inf
R4,CC(=O)O[*:4].CC(=O)[*:4],1,0,inf
R4,CC(=O)[*:4],11,0,inf
R4,CC(=O)[*:4].O[*:4],2,0,inf
R3,OC[*:3],3,0,inf
R4,C=C(C)/C=C/[*:4],1,0,inf
R4,C=C(C)[C@@H](O)C[*:4],1,0,inf
R3,N#C/C(=C\[*:3])C(N)=S,1,0,inf
R3,N#C/C(=N/N[*:3])C(N)=S,1,0,inf
R3,N#C/C(=N\N[*:3])C(N)=S,2,0,inf
R3,N#CC(C#N)=C[*:3],2,0,inf
R3,N#CC(C#N)=NN[*:3],3,0,inf
R3,FC(F)(F)C(O[*:3])C(F)(F)F,1,0,inf
R3,FC(F)(F)O[*:3],3,0,inf
R3,FC(F)O[*:3],11,0,inf
R3,I[*:3],2,0,inf
R3,CSC(=S)N[*:3],1,0,inf
R3,C[C@@H](O)[*:3],1,0,inf
R3,COCCNC(=S)N[*:3],1,0,inf
R3,COCC[*:3],1,0,inf
